Query	Millis	PreMillis	JoinMillis	PostMillis	PreNoIndexMillis	JoinNoMatMillis	Tuples	nrFbacks	Iterations	Lookups	NrIndexEntries	nrUniqueLookups	NrUctNodes	NrPlans	JoinCard	NrSamples	AvgReward	MaxReward	TotalWork
15b.sql	167	162	0	5474	847	10464	0	29049330	4498	23	21	37	20	0.03414205211596454	0.3699410690358133	2.417932597264095
15a.sql	187	180	0	8383	1283	16012	0	22468864	5923	36	33	328	32	0.05884998090885254	0.47312955861606254	2.003296979474863
14c.sql	196	168	0	93755	11829	165732	0	1063151834	18979	65	43	4115	332	0.015386023166600593	0.17159035461225133	1.1248584005656936
14b.sql	146	143	0	1832	214	3610	0	67664582	618	10	8	1	7	0.0696066884360652	0.48231868131868133	1.9702887105293363
14a.sql	191	173	0	53849	2906	103256	0	1316651701	6096	68	45	761	206	0.008453061494314053	0.339257352558843	1.7948444273197153
13d.sql	1467	4	5	7155453	410165	12272623	0	283269331866	700909	290	220	670390	24545	0.02758864758246238	0.28784948580470676	2.790362348144144
13c.sql	70	65	0	4380	1136	7535	0	1291883616	449	19	16	53	15	0.10765993293774703	0.4206872996686621	2.2666216688090266
13b.sql	93	88	0	12588	1673	21413	0	1525660601	1525	45	35	372	42	0.052920913165032335	0.3315166285878946	1.7863181628267504
13a.sql	178	1	1	802733	28276	1322128	0	7034381633	56071	201	152	111101	2644	0.04437547594988682	0.3057146486010993	2.423429608170049
12c.sql	155	69	0	624702	166669	1065409	0	5505120796	266886	117	83	4711	2131	0.004178671682151513	0.3704629049673983	1.497033571032589
12b.sql	58	55	0	1358	147	2945	0	318164785	121	8	6	10	5	0.06150837027023237	0.29298781061253	1.6146649995800293
12a.sql	45	37	0	26567	2606	50346	0	1455799360	17746	41	33	397	100	0.025493911598277973	0.2726248955471805	2.484445107038058
11d.sql	206	163	1	181943	32448	327660	0	1163364412	85990	138	87	14899	655	0.027361867699972345	0.167	1.0064358343780808
11c.sql	202	171	0	169528	41074	310508	0	755300764	29597	87	60	6946	621	0.02723560696830916	0.3393377967382318	1.004128579835386
11b.sql	164	161	0	2154	234	4137	0	299721457	329	11	9	14	8	0.025930453299098453	0.10504383771710504	1.176754630798845
11a.sql	167	161	0	11142	1504	21170	0	978708501	3776	46	42	310	42	0.025565760946053902	0.14600112542344917	1.3462655526811178
10c.sql	462	307	0	1666891	2572	3333332	0	2736096099	139124	264	102	10	6667	6.796762802203113E-4	0.37425149700598803	1.1706914465295102
10b.sql	274	271	0	2168	455	4002	0	273969861	766	11	9	0	8	6.021776200481394E-4	0.004468034397389969	1.008702465403157
10a.sql	197	192	0	15024	906	29212	0	643881137	10357	37	28	104	58	0.022046156610940823	0.2928622149051495	1.0104670546503787
