Query	Millis	PreMillis	JoinMillis	PostMillis	PreNoIndexMillis	JoinNoMatMillis	Tuples	nrFbacks	Iterations	Lookups	NrIndexEntries	nrUniqueLookups	NrUctNodes	NrPlans	JoinCard	NrSamples	AvgReward	MaxReward	TotalWork
26c.sql	745	190	550	0	110	549	1270342	0	2440108	0	26462173260	95138	203	179	5400	4880	6.198692627856316E-4	0.6879416123125679	2.608279077268497
26b.sql	364	189	172	0	127	172	464425	0	915754	0	35061144632	172002	361	300	93	1831	0.0017538952436415261	0.6863614184059654	2.4270540043058717
26a.sql	394	156	233	0	79	232	511197	0	935251	0	15652008319	95950	161	138	1728	1870	0.0014934903070718633	0.6878853552319872	2.5672810736300127
25c.sql	335	184	146	1	65	142	391752	0	702579	0	1430949908	182546	118	105	26153	1406	0.001246211232467438	0.014311379191354308	1.0213550767129818
25b.sql	229	221	5	0	102	5	1470	0	2883	0	52902120	1054	7	6	6	5	0.002783945249708644	0.01357115870800292	1.0003463061518298
25a.sql	296	234	59	0	110	58	127914	0	241382	0	1048146840	91562	94	77	4407	483	0.003143140586577299	0.025223419397151697	1.0449675178042144
24b.sql	292	278	10	0	230	10	5522	0	10540	0	238086131	1998	24	23	45	22	0.13789425212473252	0.8192367507057263	2.507492821783841
24a.sql	266	237	25	0	189	25	35910	0	70174	0	3340627428	7371	141	132	275	140	0.01326321405820767	0.6815270030214058	2.034458005483558
23c.sql	243	226	14	0	99	14	16895	0	30756	0	336341394	8075	64	62	628	62	0.040675453767074765	0.7882736156351792	1.9657547883593292
23b.sql	228	213	11	0	135	11	9820	0	19064	0	691578427	7375	40	39	16	38	0.0806241143805807	0.6881662665326773	2.6335379274202984
23a.sql	262	243	16	0	164	16	24800	0	45574	0	1949189447	13675	93	90	618	91	0.03215880766378456	0.6879669844750504	2.6388241480421013
22d.sql	364	220	140	0	104	133	352894	0	634635	0	7885796360	97728	200	163	46281	1270	0.0013027290283599792	0.34318323973966447	1.1347348290027566
22c.sql	322	224	93	0	115	91	246453	0	422852	0	5228500915	70116	188	154	21489	845	0.001945131058390969	0.3431914662559728	1.1319360927673947
22b.sql	198	156	38	0	55	38	66596	0	129469	0	3834542915	23618	140	130	31	258	0.006315500397148466	0.3378256482960896	1.1103165131626669
22a.sql	251	192	55	0	95	54	108077	0	199300	0	3485228138	36790	187	168	2851	399	0.004063277257656546	0.33741841052237903	1.1111065149603807
21c.sql	330	304	22	0	128	22	50131	0	94346	0	3085828763	6995	71	58	1874	189	0.005728873665935719	0.11839461523005827	1.083598951493095
21b.sql	222	209	10	0	63	10	8016	0	15848	0	572734377	4824	34	32	38	32	0.04490621586402513	0.2289725889685678	1.3870122244435465
21a.sql	270	231	36	0	85	36	112241	0	207364	0	2552080171	17585	125	105	1410	414	0.007695862494118201	0.29898417760000157	1.080112190631242
20c.sql	401	185	213	0	108	212	441578	0	848147	0	8079869831	45332	67	53	5406	1696	0.0016458978758708085	0.6880053846979015	1.734560978610901
20b.sql	345	330	12	0	251	12	7183	0	13956	0	100365884	1497	29	28	17	27	0.05200218769490053	0.6072882607829297	1.6889070180766281
20a.sql	663	636	24	0	488	24	39550	0	77493	0	1898133649	14246	77	66	33	154	0.014710777314359763	0.5948155256614084	2.5078669431765617
1d.sql	241	235	5	0	115	5	620	0	1233	0	1987	192	4	3	4	2	7.419724015221655E-5	1.483944803044331E-4	1.0001476706047907
1c.sql	138	131	6	0	106	6	1145	0	2098	0	3865457	630	6	5	3	4	0.2525086731399429	0.9999666675120559	2.0219308309996844
1b.sql	230	223	5	0	106	5	619	0	1231	0	11556574	70	4	3	3	2	9.057741289170203E-5	1.8115482578340405E-4	1.8948597632047572
1a.sql	128	120	7	0	117	7	1697	0	3124	0	7194707	762	7	7	142	6	0.2580308777446125	0.9998869593887112	2.0170402267095358
19d.sql	6978	135	6824	16	55	6485	24874778	0	46801927	0	4599048223858	5141164	2205	1561	1760645	93603	1.1339289217980378E-4	0.681253799636202	2.8828268102456853
